Location Name Precincts,,Address,Cross Streets,ZipCode
New Canaan MBC 1/3,,8946 Charlevoix,S of Mack E of Van Dyke,48214
Nichols Elementary School 2/4,,3000 Burns Street,,48214-1874
Remus Rob. School 5/6 / 7 / 8 / 9 / 30,,13000 Essex,S of  Jeff  E Conner,48215
Faith Clinic Cogic 10/56,,12260 Camden,E of Conner N of Ford Freeway,48213
St Matthew Cath Ch 11/17 / 31 / 51,,5970 Audubon,S I-94 E Cadieux,48224
Clark School 12/13 / 23 / 24,,15755 Bremen,S of Warren E of Chalmers,48224
Fire Station 52 14/,,5029 Manistique,E of Conner at Warren,48224
Greater St Stephen Ch 15/16 / 25,,3952 Dickerson,at Mack,48215
Salem Lutheran Ch 18/20 / 21,,21230 Moross,S of Ford Fwy,48236
Diann Banks-Williamson Education Cent1e9r /22 / 34 / 499,,5020 Cadieux Road,,48224
Bethany Lutheran Church 26/29 / 32 / 33 / 36,,11475 E Outer Drive,Chalmers & Berkshire,48224
WCCC East Campus 27/28,,5901 Conner,Near St. Jean St.,48213
Denby High School 35/37 / 38 / 39 / 59 / 502,,12800 Kelly Rd,at Whittier,48224
Carleton Elementary School 40/,,11724 Casino Street,Btwn Morang & Moross Rd,48224-1173
Wayne School 41/42 / 52,,10633 Courville,N of Ford Freeway,48224
Fire Station 58 43/,,10801 Whittier,N of Ford Freeway,48224
Heilman Recreation 44/45 / 82 / 83,,19601 Crusade,,48205
Metro Matrix 46/49 / 76 / 77,,13560 E  Mcnichols,Near Gratiot,48205
Jesus Tabernacle Ministry 47/54,,11001 Chalmers,N of Outer Drive,48213
Fire Station 50 48/,,12985 Houston whittier,E of Conner at Gratiot,48205
Brewer Academy 50/53 / 60 / 66 / 67 / 87,,18025 Brock,S of E Seven Mile W of Kelly,48205
Hamilton School 55/57 / 58,,14223 Southampton,N of Warren,48213
Farwell Rec Center 61/193 / 194,,2781 E. Outer Drive,Btwn Klinger & Ryan Rd,48234
Perfecting Church 62/63,,7616 E. Nevada,at Van Dyke,48234
Our Lady Of Heaven 64/65 / 88,,8200 Rolyat,E of Van Dyke N of E 7 Mile,48234
Osborn High School 68/69 / 70 / 75 / 106 / 491,,11600 E. 7 Mile,at Hoover,48205
Galilee MBC 71/72 / 73,,5251 E Outer Drive,N of E Seven Mile Rd.,48234
True Church Ministrie 74/78,,19500 Schoenherr Street,Btwn State Fair and Seven Mile,48205
Greater St Paul 79/81 / 492,,15325 Gratiot,S of E Eight Mile,48205
Fisher Magnet Lower 80/,,15510 E. State Fair,Near Hayes Street,48205
Cross Of Glory Lut 84/85,,16661 E  State Fair,at Kelly,48205
Marion Law Academy 86/,,19411 Cliff Avenue,,48234
Faith Temple Ch. 89/174 / 179 / 503,,19000 Conant,At E Seven Mile,48234
"Holmes, A.L. Elementary School 90/103 / 104 / 107",,8950 Crane Street,Near Erwin St,48213-2273
Islamic Center for North Detroit Hall 91/,,12605 McDougall,Near Davison Freeway,48212
Lasky Rec Center 92/94 / 95 / 96 / 196,,13200 Fenelon,,48212
Frontier International Academy 93/197,,13200 Conant St,At Charles Street,48212
Catherine C. Blackwell Institute 97/98 / 100 / 101,,9330 Shoemaker,At McClellan St Near Gratiot,48213
Church of Redeemed 99/108,,9360 Van Dyke,N of Harper,48213
Fire Station 46 102/,,10101 Knodell,At Grace St Near Gratiot,48213
Refuge Cathedral 105/109,,12227 Findlay,At Dresden,48205
Timbuktu Academy 110/112 / 113,,10800 E Canfield,Btwn Mack &  Warren,48214
Detroit Catholic Pastoral Alliance 111/,,9200 Gratiot,At Ford Fwy.,48213
New Zion MBC 114/,,10203 E Canfield,E of Cadillac N of Mack,48214
Burns 7th Day Adven Ch 115/119,,10125 E Warren,at Cadillac,48214
Bethel Bapt. Ch. East 116/118,,5733 Holcomb,E of Van Dyke S of Gratiot,48213
Operation Get Down 117/121,,10100 Harper,at Cadillac,48213
MT Zion Baptist Church 120/131,,3600 Van Dyke Street,At Mack,48214
Greater Christ Ch 122/,,3544 Iroquois,at Mack,48214
Chrysler School,123/155,1445 E Lafayette,E of Russell,48207
Horatio Williams Foundation,124/,1010 Antietam ave,Near Gratiot,48207
Bunche Preparatory Academy,125/127,2715 Macomb Street,Near Chene,48207
St Johns Pres Church,126/156,1961 E Lafayette,W of Chene,48207
