line_item_id,gift_date,gift_amount,order_number,recurring_period,recurring_sequence,ref_code,ref_code_variant
377721869,2021-02-27,2,PP261519198141,once,0,em_20210227_ak,email_1091353
377724530,2021-02-27,2,PP261519198344,once,0,em_20210227_ak,email_1091353
377729223,2021-02-27,2,PP261519198714,once,0,em_20210227_ak,email_1090088___subject_1468942
377730081,2021-02-27,2,PP261519198780,once,0,em_20210227_ak,email_1091353
377736508,2021-02-27,2,PP261519199282,once,0,em_20210227_ak,email_1091353
377736928,2021-02-27,2,PP261519199314,once,0,em_20210227_ak,email_1090088___subject_1468941
377756156,2021-02-27,2,PP261519200823,once,0,em_20210227_ak,email_1091359
378228152,2021-03-01,2,PP261519211400,monthly,0,em_20210227_ak,email_1091353
387487317,2021-05-01,2,PP261519211400,monthly,2,em_20210227_ak,email_1091353
392168272,2021-06-03,2,PP261519211400,monthly,3,em_20210227_ak,email_1091353
383217927,2021-04-01,2,PP261519211400,monthly,1,em_20210227_ak,email_1091353
378030106,2021-02-28,90,PP261519201826,once,0,em_20210227_ak,email_1091353
377731587,2021-02-27,52,PP261519198894,once,0,em_20210227_ak,email_1091359
377731688,2021-02-27,52,PP261519198902,once,0,em_20210227_ak,email_1091359
378090512,2021-02-28,52,PP261519206497,once,0,em_20210227_ak,email_1091359
377719461,2021-02-27,14,PP261519197952,once,0,em_20210227_ak,email_1090088___subject_1468940
377719799,2021-02-27,14,PP261519197980,once,0,em_20210227_ak,email_1090088___subject_1468942
377719846,2021-02-27,14,PP261519197984,once,0,em_20210227_ak,email_1090088___subject_1468942
377719905,2021-02-27,14,PP261519197988,once,0,em_20210227_ak,email_1090088___subject_1468940
377719935,2021-02-27,14,PP261519197991,once,0,em_20210227_ak,email_1090088___subject_1468941
377720065,2021-02-27,14,PP261519198000,once,0,em_20210227_ak,email_1090088___subject_1468942
377720295,2021-02-27,14,PP261519198019,once,0,em_20210227_ak,email_1090088___subject_1468941
377720583,2021-02-27,14,PP261519198041,once,0,em_20210227_ak,email_1090088___subject_1468940
377720581,2021-02-27,14,PP261519198041,once,0,em_20210227_ak,email_1090088___subject_1468941
377720580,2021-02-27,14,PP261519198041,once,0,em_20210227_ak,email_1090088___subject_1468940
377720802,2021-02-27,14,PP261519198059,once,0,em_20210227_ak,email_1090088___subject_1468940
377720866,2021-02-27,14,PP261519198064,once,0,em_20210227_ak,email_1090088___subject_1468941
377721013,2021-02-27,14,PP261519198076,once,0,em_20210227_ak,email_1090088___subject_1468940
377721408,2021-02-27,14,PP261519198106,once,0,em_20210227_ak,email_1090088___subject_1468941
377721523,2021-02-27,14,PP261519198114,once,0,em_20210227_ak,email_1091353
377721873,2021-02-27,14,PP261519198142,once,0,em_20210227_ak,email_1091353
377721874,2021-02-27,14,PP261519198142,once,0,em_20210227_ak,email_1091353
377722021,2021-02-27,14,PP261519198153,once,0,em_20210227_ak,email_1091353
377722297,2021-02-27,14,PP261519198176,once,0,em_20210227_ak,email_1090088___subject_1468941
377722492,2021-02-27,14,PP261519198192,once,0,em_20210227_ak,email_1090088___subject_1468941
377722513,2021-02-27,14,PP261519198193,once,0,em_20210227_ak,email_1091353
377722769,2021-02-27,14,PP261519198211,once,0,em_20210227_ak,email_1091353
377722777,2021-02-27,14,PP261519198212,once,0,em_20210227_ak,email_1091353
377722780,2021-02-27,14,PP261519198212,once,0,em_20210227_ak,email_1091353
377723167,2021-02-27,14,PP261519198240,once,0,em_20210227_ak,email_1091353
